content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
MESSAGING,31,DIR,0.0660,1,6268.7750,61.4467
MESSAGING,31,HEU,33.6740,1,997.7750,113.2280
MESSAGING,31,ILP,DNF,0,-,-
MESSAGING,31,MST,30.9110,1,878.7750,78.5254
GAMING,31,DIR,0.0162,0,0.0000,0.0000
GAMING,31,HEU,1.3011,0,0.0000,0.0000
GAMING,31,ILP,280674.3720,0,0.0000,0.0000
GAMING,31,MST,15.0540,0,0.0000,0.0000
VIDEO,32,DIR,0.1912,1,6668.7750,63.4571
VIDEO,32,HEU,29.3884,1,997.7750,113.6078
VIDEO,32,ILP,DNF,0,-,-
VIDEO,32,MST,15.8060,1,878.7750,80.6226
AUDIO,32,DIR,0.0505,1,6668.7750,63.4571
AUDIO,32,HEU,35.9347,1,1086.4300,109.0115
AUDIO,32,ILP,DNF,0,-,-
AUDIO,32,MST,14.3332,0,0.0000,0.0000
MESSAGING,32,DIR,0.0548,1,6668.7750,63.4571
MESSAGING,32,HEU,67.9872,1,997.7750,113.6078
